,id,country,urb/rur,age,sex,education,years_edu,work?,occupation,mar_status,spouse_job,housing,car,computer,income,household_income,participate,why_par,why_not_par
0,0,Algeria,Urban,40.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Married,Housewife,Owned,Yes,No,19000.0,38000.0,"No, I did not",,I did not care to participate / It was not important
1,1,Algeria,Urban,41.0,Female,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Rented,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
2,2,Algeria,Urban,44.0,Male,Elementary,5.0,Yes,A governmental employee,Bachelor,,Other,Yes,Yes,20000.0,30000.0,"No, I did not",,Refuse
3,3,Algeria,Urban,56.0,Female,Elementary,5.0,No,A housewife,Married,"Professional such as lawyer, accountant, teacher, doctor, etc.",Owned,No,Yes,,57000.0,"No, I did not",,I was afraid to participate in these demonstrations
4,4,Algeria,Urban,48.0,Male,Elementary,5.0,Yes,Private sector employee,Married,Housewife,Owned,Yes,No,24000.0,34000.0,"No, I did not",,I did not know how to participate in these demonstrations
5,5,Algeria,Urban,70.0,Female,Illiterate/No formal education,0.0,No,A housewife,Divorced,,Owned,No,No,15000.0,15000.0,"No, I did not",,I did not care to participate / It was not important
6,6,Algeria,Urban,47.0,Male,Prepartory/Basic,8.0,Yes,Owner of a shop/grocery store,Married,Housewife,Owned,Yes,Yes,30000.0,30000.0,"No, I did not",,Refuse
7,7,Algeria,Urban,63.0,Female,Illiterate/No formal education,0.0,No,Retired,Married,Retired,Owned,No,Yes,18000.0,38000.0,"No, I did not",,I did not care to participate / It was not important
8,8,Algeria,Urban,28.0,Male,Elementary,5.0,Yes,Private sector employee,Bachelor,,Other,No,Yes,17000.0,17000.0,"Yes, I did",Because everyone was participating in these demonstrations,
9,9,Algeria,Urban,27.0,Female,Elementary,5.0,No,A housewife,Divorced,,Other,No,Yes,,35000.0,"No, I did not",,I did not know how to participate in these demonstrations
10,10,Algeria,Urban,23.0,Male,BA,16.0,No,A student,Bachelor,,Owned,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
11,11,Algeria,Urban,32.0,Female,Secondary,12.0,No,Unemployed,Bachelor,,Owned,No,No,,100000.0,"No, I did not",,I did not care to participate / It was not important
12,12,Algeria,Urban,65.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Owned,Yes,No,25000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
13,13,Algeria,Urban,62.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
14,14,Algeria,Urban,18.0,Male,Secondary,12.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
15,15,Algeria,Urban,65.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,Yes,No,,,"No, I did not",,I did not care to participate / It was not important
16,16,Algeria,Urban,22.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
17,17,Algeria,Urban,39.0,Female,BA,16.0,Yes,Director of an institution or a high ranking governmental employee,Bachelor,,Owned,Yes,Yes,80000.0,120000.0,"No, I did not",,I did not care to participate / It was not important
18,18,Algeria,Urban,54.0,Male,Prepartory/Basic,8.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,No,32000.0,70000.0,"No, I did not",,Other
19,19,Algeria,Urban,23.0,Female,Secondary,12.0,No,Unemployed,Bachelor,,Rented,No,No,,,"No, I did not",,I did not care to participate / It was not important
20,20,Algeria,Urban,31.0,Male,Elementary,5.0,Yes,Craftsperson,Bachelor,,Owned,No,No,30000.0,50000.0,"No, I did not",,Other
21,21,Algeria,Urban,41.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Owner of a shop/grocery store,Owned,Yes,No,,100000.0,"No, I did not",,Don't know
22,22,Algeria,Urban,36.0,Male,Secondary,12.0,Yes,Private sector employee,Bachelor,,Owned,Yes,No,,,"No, I did not",,I did not care to participate / It was not important
23,23,Algeria,Urban,45.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Rented,Yes,No,,,"No, I did not",,Other
24,24,Algeria,Urban,40.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,No,,,"No, I did not",,I did not care to participate / It was not important
25,25,Algeria,Urban,22.0,Female,Prepartory/Basic,8.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
26,26,Algeria,Urban,60.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
27,27,Algeria,Urban,35.0,Female,Mid-level diploma (professional or technical,14.0,No,A housewife,Bachelor,,Owned,No,Yes,,,"No, I did not",,Don't know
28,28,Algeria,Urban,59.0,Male,Elementary,5.0,Yes,Owner of a shop/grocery store,Married,Housewife,Owned,Yes,No,100000.0,100000.0,"No, I did not",,I did not care to participate / It was not important
29,29,Algeria,Urban,29.0,Female,Elementary,5.0,No,Unemployed,Bachelor,,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
30,30,Algeria,Rural,29.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Owned with mortgage payments to a bank,No,No,,50000.0,"No, I did not",,I did not care to participate / It was not important
31,31,Algeria,Rural,58.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,Yes,,60000.0,"No, I did not",,I did not care to participate / It was not important
32,32,Algeria,Rural,49.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Manual laborer,Owned,Yes,Yes,30000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
33,33,Algeria,Rural,24.0,Female,BA,16.0,No,A student,Bachelor,,Owned,Yes,Yes,,50000.0,"No, I did not",,I did not care to participate / It was not important
34,34,Algeria,Rural,26.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,32000.0,70000.0,"No, I did not",,I did not know who to support in these demonstrations
35,35,Algeria,Rural,44.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Private sector employee,Owned,No,Yes,,40000.0,"No, I did not",,I did not care to participate / It was not important
36,36,Algeria,Rural,22.0,Male,Secondary,12.0,Yes,Private sector employee,Bachelor,,Owned,No,No,25000.0,60000.0,"No, I did not",,I did not care to participate / It was not important
37,37,Algeria,Rural,55.0,Female,Elementary,5.0,No,Retired,Married,Retired,Owned,Yes,Yes,25000.0,80000.0,"No, I did not",,I did not know how to participate in these demonstrations
38,38,Algeria,Rural,24.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Bachelor,,Owned,No,Yes,13000.0,70000.0,"No, I did not",,I did not know who to support in these demonstrations
39,39,Algeria,Rural,23.0,Female,BA,16.0,No,A student,Bachelor,,Owned,No,Yes,,70000.0,"No, I did not",,I did not care to participate / It was not important
40,40,Algeria,Rural,45.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,No,36000.0,60000.0,Refuse,,
41,41,Algeria,Rural,36.0,Female,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Rented,No,No,,,Refuse,,
42,42,Algeria,Rural,26.0,Male,Mid-level diploma (professional or technical,14.0,No,A student,Bachelor,,Owned with mortgage payments to a bank,No,No,,40000.0,Refuse,,
43,43,Algeria,Rural,21.0,Female,Elementary,5.0,No,A student,Bachelor,,Rented,No,No,,,"No, I did not",,I did not care to participate / It was not important
44,44,Algeria,Rural,35.0,Male,Mid-level diploma (professional or technical,14.0,Yes,Craftsperson,Bachelor,,Rented,Yes,No,35000.0,,"No, I did not",,I did not care to participate / It was not important
45,45,Algeria,Rural,42.0,Female,BA,16.0,Yes,Private sector employee,Married,Government employee,Owned,Yes,Yes,50000.0,100000.0,Refuse,,
46,46,Algeria,Rural,21.0,Male,Prepartory/Basic,8.0,No,Unemployed,Bachelor,,Rented,No,No,,,"No, I did not",,I did not care to participate / It was not important
47,47,Algeria,Rural,39.0,Female,Elementary,5.0,No,A housewife,Married,Government employee,Owned,No,No,,,Refuse,,
48,48,Algeria,Rural,42.0,Male,BA,16.0,Yes,A governmental employee,Married,Housewife,Rented,Yes,No,,,Refuse,,
49,49,Algeria,Rural,30.0,Female,Secondary,12.0,Yes,A governmental employee,Bachelor,,Rented,No,Yes,60000.0,,Refuse,,
50,50,Algeria,Urban,30.0,Male,Mid-level diploma (professional or technical,14.0,Yes,A governmental employee,Bachelor,,Owned,No,No,,,"No, I did not",,I did not care to participate / It was not important
51,51,Algeria,Urban,47.0,Female,Prepartory/Basic,8.0,Yes,Manual laborer,Married,Government employee,Rented,No,Yes,,,"No, I did not",,Refuse
52,52,Algeria,Urban,21.0,Male,Elementary,5.0,No,Unemployed,Bachelor,,Rented,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
53,53,Algeria,Urban,27.0,Female,BA,16.0,Yes,Private sector employee,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
54,54,Algeria,Urban,75.0,Male,Illiterate/No formal education,0.0,No,Retired,Divorced,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
55,55,Algeria,Urban,36.0,Female,Secondary,12.0,Yes,A governmental employee,Bachelor,,,Yes,Yes,,,"No, I did not",,I did not care to participate / It was not important
56,56,Algeria,Urban,30.0,Male,Mid-level diploma (professional or technical,14.0,No,Unemployed,Bachelor,,Owned,No,Yes,,60000.0,"No, I did not",,I did not care to participate / It was not important
57,57,Algeria,Urban,65.0,Female,Illiterate/No formal education,0.0,No,A housewife,Married,Retired,Owned,No,No,,,"No, I did not",,Don't know
58,58,Algeria,Urban,37.0,Male,Secondary,12.0,Yes,A governmental employee,Married,Private sector employee,Owned,Yes,No,,,"No, I did not",,Other
59,59,Algeria,Urban,28.0,Female,BA,16.0,Yes,Private sector employee,Bachelor,,Owned,No,Yes,40000.0,,"No, I did not",,I did not care to participate / It was not important
60,60,Algeria,Urban,65.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Owned,No,No,18000.0,38000.0,"No, I did not",,Other
61,61,Algeria,Urban,36.0,Female,Secondary,12.0,Yes,A governmental employee,Married,Government employee,Rented,Yes,Yes,33000.0,80000.0,"No, I did not",,I did not care to participate / It was not important
62,62,Algeria,Urban,66.0,Male,Elementary,5.0,No,Retired,Married,Housewife,Owned,Yes,No,20000.0,85000.0,"No, I did not",,Other
63,63,Algeria,Urban,41.0,Female,Secondary,12.0,Yes,A governmental employee,Married,Government employee,Owned,Yes,Yes,38000.0,69000.0,"No, I did not",,Other
64,64,Algeria,Urban,68.0,Male,Illiterate/No formal education,0.0,No,A housewife,Married,Housewife,Owned,No,Yes,25000.0,68000.0,"No, I did not",,Other
65,65,Algeria,Urban,30.0,Female,BA,16.0,Yes,A governmental employee,Bachelor,,Owned,Yes,Yes,55000.0,,"No, I did not",,I did not care to participate / It was not important
66,66,Algeria,Urban,24.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Bachelor,,Owned,No,No,30000.0,12000.0,"No, I did not",,I did not care to participate / It was not important
67,67,Algeria,Urban,42.0,Female,Prepartory/Basic,8.0,Yes,Private sector employee,Married,Government employee,Rented,No,Yes,35000.0,80000.0,"No, I did not",,I did not care to participate / It was not important
68,68,Algeria,Urban,22.0,Male,BA,16.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,I did not care to participate / It was not important
69,69,Algeria,Urban,21.0,Female,Secondary,12.0,No,A student,Bachelor,,Owned,No,Yes,,,"No, I did not",,Other
70,70,Algeria,Urban,27.0,Male,Prepartory/Basic,8.0,Yes,Private sector employee,Bachelor,,Owned,Yes,No,9000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
71,71,Algeria,Urban,36.0,Female,Elementary,5.0,Yes,Agricultural worker/Owner of a farm,Bachelor,,Owned with mortgage payments to a bank,No,No,21000.0,100000.0,"No, I did not",,I did not know how to participate in these demonstrations
72,72,Algeria,Urban,29.0,Male,Elementary,5.0,Yes,Manual laborer,Bachelor,,Owned,No,No,17000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
73,73,Algeria,Urban,32.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Government employee,,Yes,No,,30000.0,"No, I did not",,I did not agree on the political changes
74,74,Algeria,Urban,29.0,Male,Secondary,12.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,35000.0,35000.0,"No, I did not",,I did not care to participate / It was not important
75,75,Algeria,Urban,68.0,Female,Elementary,5.0,No,Retired,Married,Owner of a shop/grocery store,,Yes,Yes,15000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
76,76,Algeria,Urban,56.0,Male,Illiterate/No formal education,0.0,No,Unemployed,Married,Housewife,Owned,No,No,,40000.0,"No, I did not",,I did not care to participate / It was not important
77,77,Algeria,Urban,29.0,Female,Secondary,12.0,Yes,Private sector employee,Bachelor,,Other,No,No,15000.0,35000.0,"No, I did not",,I was afraid to participate in these demonstrations
78,78,Algeria,Urban,54.0,Male,Illiterate/No formal education,0.0,No,Retired,Married,Housewife,Owned,No,No,20000.0,20000.0,"No, I did not",,I did not care to participate / It was not important
79,79,Algeria,Urban,43.0,Female,Prepartory/Basic,8.0,No,A housewife,Married,Craftsperson,Owned,No,No,,29000.0,"No, I did not",,I did not care to participate / It was not important
80,80,Algeria,Urban,18.0,Male,Secondary,12.0,No,A student,Bachelor,,Rented,No,Yes,,50000.0,"No, I did not",,I did not care to participate / It was not important
81,81,Algeria,Urban,45.0,Female,Elementary,5.0,No,A housewife,Married,Private sector employee,Owned,No,No,,70000.0,"No, I did not",,I did not care to participate / It was not important
82,82,Algeria,Urban,36.0,Male,Prepartory/Basic,8.0,Yes,Agricultural worker/Owner of a farm,Bachelor,,Owned,Yes,Yes,37000.0,80000.0,"No, I did not",,I did not care to participate / It was not important
83,83,Algeria,Urban,62.0,Female,Illiterate/No formal education,0.0,No,Retired,Married,Retired,Owned,Yes,Yes,20000.0,60000.0,"No, I did not",,I did not care to participate / It was not important
84,84,Algeria,Urban,29.0,Male,Prepartory/Basic,8.0,Yes,Manual laborer,Bachelor,,Owned with mortgage payments to a bank,No,Yes,19000.0,50000.0,"No, I did not",,I did not care to participate / It was not important
85,85,Algeria,Urban,32.0,Female,Secondary,12.0,No,A housewife,Married,Craftsperson,Rented,Yes,Yes,,40000.0,"No, I did not",,I did not agree on the political changes
86,86,Algeria,Urban,47.0,Male,Elementary,5.0,Yes,A governmental employee,Married,Housewife,Owned,Yes,Yes,33000.0,33000.0,"No, I did not",,I did not agree on the political changes
87,87,Algeria,Urban,32.0,Female,Prepartory/Basic,8.0,Yes,Craftsperson,Bachelor,,Owned,Yes,Yes,24000.0,70000.0,"No, I did not",,I did not care to participate / It was not important
88,88,Algeria,Urban,68.0,Male,Illiterate/No formal education,0.0,No,Retired,Divorced,,Owned,No,Yes,20000.0,30000.0,"No, I did not",,I did not care to participate / It was not important
